ItemCode_1,ItemName_1,ItemCode_2,ItemName_2,"count(DocNo )"
2103501112,"เทปพันเกลียว 16mm.x0.1x12M. Duss (หนา)(20ม้วน:กล่อง/300ม้วน:ลัง)",2502702000,ข้อต่อบางฟ้า PVC 2 (130/ล.),1
2503700400,สามทางหนา PVC 1/2 (100/ล.),2505000400,ข้อต่อเกลียวนอก PVC 1/2 (300/ล.),1
2502600400,ข้อต่อหนา PVC 1/2 (220/ล.),2505000400,ข้อต่อเกลียวนอก PVC 1/2 (300/ล.),1
2502703000,ข้อต่อบางฟ้า PVC 3 (45/ล.),2505000400,ข้อต่อเกลียวนอก PVC 1/2 (300/ล.),1
2700701200,ขอเกี่ยว 1.20,2700912600,แผ่นปิดกล่องปตม.26ซม. ครีม ระดับตา(0.714),1
2700912600,แผ่นปิดกล่องปตม.26ซม. ครีม ระดับตา(0.714),2700914000,แผ่นปิดกล่องปตม.40ซม. ครีม ระดับตา(1.10),1
2700701200,ขอเกี่ยว 1.20,2700914000,แผ่นปิดกล่องปตม.40ซม. ครีม ระดับตา(1.10),1
2132014231,"สต๊อปวาวล์ 2ทางSJR-011หัวหกเหลี่ยม",2502600400,ข้อต่อหนา PVC 1/2 (220/ล.),1
2105340102,"มิเตอร์น้ำ 1/2 ทล.+PVC DUSS (20ตัว/กล่อง)",2503000600,ข้องอหนาฟ้า PVC 3/4 (125/ล.),1
2105340102,"มิเตอร์น้ำ 1/2 ทล.+PVC DUSS (20ตัว/กล่อง)",2507500604,ลดกลม PVC 3/4x1/2 (180),1
2502702000,ข้อต่อบางฟ้า PVC 2 (130/ล.),2505002000,ข้อต่อเกลียวนอก PVC 2 (50/ล.),1
2103501112,"เทปพันเกลียว 16mm.x0.1x12M. Duss (หนา)(20ม้วน:กล่อง/300ม้วน:ลัง)",2505002000,ข้อต่อเกลียวนอก PVC 2 (50/ล.),1
2502600400,ข้อต่อหนา PVC 1/2 (220/ล.),2502703000,ข้อต่อบางฟ้า PVC 3 (45/ล.),1
2503700400,สามทางหนา PVC 1/2 (100/ล.),2507501006,"ลดกลม PVC 1x3/4 (100)"",1
2505000400,ข้อต่อเกลียวนอก PVC 1/2 (300/ล.),2507501006,"ลดกลม PVC 1x3/4 (100)"",1
2502600400,ข้อต่อหนา PVC 1/2 (220/ล.),2507501006,"ลดกลม PVC 1x3/4 (100)"",1
2502703000,ข้อต่อบางฟ้า PVC 3 (45/ล.),2507501006,"ลดกลม PVC 1x3/4 (100)"",1
2502702000,ข้อต่อบางฟ้า PVC 2 (130/ล.),2503102000,"ข้องอบางฟ้า 90 PVC 2 (70/ล.)",1
2503700400,สามทางหนา PVC 1/2 (100/ล.),2505001000,ข้อต่อเกลียวนอก PVC 1 (100/ล.),1
